timestep,demand_water,demand_f,dewatered_sludge,temperature,demand_electricity,heat_demand_digester,electricity_demand_digester
1,50.3267,0.0,30.91,8.887,44.26,4.012526505328565,2.026658187988623
2,51.3267,0.0,30.91,8.568,44.26,4.058056898925827,2.026658187988623
3,52.3267,0.062188,30.91,8.377,44.26,4.0853180436815535,2.026658187988623
4,53.3267,0.15426,30.91,8.194,44.26,4.111437360384684,2.026658187988623
5,54.3267,0.16016,30.91,8.093,44.26,4.125852939548709,2.026658187988623
6,55.3267,0.1036,30.91,8.868,44.26,4.015238346953481,2.026658187988623
7,56.3267,0.084862,30.91,11.056,44.26,3.7029483745685026,2.026658187988623
8,57.3267,0.052101,30.91,13.244,44.26,3.390658402183524,2.026658187988623
9,58.3267,0.014673,30.91,14.995,44.26,3.1407407871715964,2.026658187988623
10,59.3267,0.0,30.91,16.181,44.26,2.9714647783742536,2.026658187988623
11,60.3267,0.0,30.91,16.848,44.26,2.876264864489071,2.026658187988623
12,61.3267,0.0,30.91,17.069,44.26,2.844721864536109,2.026658187988623
13,62.3267,0.0,30.91,16.752,44.26,2.889966801120222,2.026658187988623
14,63.3267,0.0,30.91,15.307,44.26,3.0962094931203556,2.026658187988623
15,64.3267,0.0,30.91,12.653,44.26,3.4750109495690458,2.026658187988623
16,65.3267,0.0,30.91,11.618,44.26,3.62273495387364,2.026658187988623
17,66.3267,0.0,30.91,11.157,44.26,3.6885327954044795,2.026658187988623
18,67.3267,0.0,30.91,11.094,44.26,3.6975246913186717,2.026658187988623
19,68.3267,0.0,30.91,11.181,44.26,3.685107311246692,2.026658187988623
20,69.3267,0.0,30.91,10.968,44.26,3.7155084831470573,2.026658187988623
21,70.3267,0.0,30.91,10.478,44.26,3.785445451368556,2.026658187988623
22,71.3267,0.0,30.91,9.877,44.26,3.8712252838198222,2.026658187988623
23,72.3267,0.0,30.91,9.175,44.26,3.9714206954351132,2.026658187988623
24,73.3267,0.0,30.91,8.617,44.26,4.051063202103677,2.026658187988623
25,74.3267,0.0,30.91,8.066,44.26,4.129706609226219,2.026658187988623
26,75.3267,0.062188,30.91,7.934,44.26,4.148546772094052,2.026658187988623
27,76.3267,0.15426,30.91,8.043,44.26,4.132989364877433,2.026658187988623
28,77.3267,0.16016,30.91,8.38,44.26,4.08488985816183,2.026658187988623
29,78.3267,0.1036,30.91,8.9,44.26,4.010671034743098,2.026658187988623
30,79.3267,0.084862,30.91,9.733,44.26,3.891778188766549,2.026658187988623
31,80.3267,0.0,30.91,11.102,44.26,3.6963828632660762,2.026658187988623
32,81.3267,0.0,30.91,12.696,44.26,3.468873623786344,2.026658187988623
33,82.3267,0.062188,30.91,14.034,44.26,3.2779028819896787,2.026658187988623
34,83.3267,0.15426,30.91,14.66,44.26,3.1885548368740495,2.026658187988623
35,84.3267,0.16016,30.91,14.929,44.26,3.150160868605512,2.026658187988623
