Design Parameter,OWEFE,BAU (2021)
Diameter [m],6.09,5
Total volume of digester [m³],96.64,50.47
Total Surface Area [m²],144.04,108.21
Average Flow Rate [m³/d],1.69,2.29
Design Flow Rate [m³/d],2.63,2.29
Retention Time [d],22,22
