,Value
"(('AC electricity bus', 'grid'), 'flow')",247602087.23815498
"(('Inverter', 'AC electricity bus'), 'flow')",247602087.23815498
"(('Plants', 'biomass bus'), 'flow')",2094.0473354470564
"(('biomass bus', 'harvest'), 'flow')",2094.0473354470564
"(('Plants', 'biomass bus'), 'flow')",439.3259361159797
"(('biomass bus', 'harvest'), 'flow')",439.3259361159797
