longitude,latitude,time,swvl1,swvl2,swvl3,swvl4,vwc_rzd
9.100000381469727,47.900001525878906,2018-01-02 23:00:00,0.40284732,0.40620533,0.42489502,0.40939277,0.41942686
9.100000381469727,47.900001525878906,2018-01-03 00:00:00,0.40307748,0.40580833,0.42480332,0.4094703,0.41929358
9.100000381469727,47.900001525878906,2018-01-03 01:00:00,0.40402213,0.40545857,0.4247116,0.40953028,0.4192202
9.100000381469727,47.900001525878906,2018-01-03 02:00:00,0.4046311,0.40513718,0.42461994,0.4095753,0.41912937
9.100000381469727,47.900001525878906,2018-01-03 03:00:00,0.40466467,0.40481582,0.42451572,0.4096528,0.41898918
9.100000381469727,47.900001525878906,2018-01-03 04:00:00,0.40475577,0.40450862,0.42442405,0.40971282,0.41886503
9.100000381469727,47.900001525878906,2018-01-03 05:00:00,0.40496677,0.40420613,0.4243157,0.40977535,0.41873825
9.100000381469727,47.900001525878906,2018-01-03 06:00:00,0.40589702,0.4039462,0.424224,0.40983534,0.41868278
9.100000381469727,47.900001525878906,2018-01-03 07:00:00,0.4076856,0.40374768,0.4241198,0.40989786,0.41869128
9.100000381469727,47.900001525878906,2018-01-03 08:00:00,0.41218343,0.40368626,0.4240281,0.40994287,0.4189272
9.100000381469727,47.900001525878906,2018-01-03 09:00:00,0.42338488,0.404036,0.4239364,0.4100029,0.4197187
9.100000381469727,47.900001525878906,2018-01-03 10:00:00,0.44043157,0.40617225,0.4238572,0.41006538,0.4213036
9.100000381469727,47.900001525878906,2018-01-03 11:00:00,0.4227615,0.4248975,0.4238447,0.4101254,0.42398995
9.100000381469727,47.900001525878906,2018-01-03 12:00:00,0.43295115,0.42521888,0.4238447,0.41018793,0.4247707
9.100000381469727,47.900001525878906,2018-01-03 13:00:00,0.42843413,0.42622554,0.4238572,0.41023293,0.42467496
9.100000381469727,47.900001525878906,2018-01-03 14:00:00,0.42560023,0.4263437,0.42389056,0.41029292,0.42452538
9.100000381469727,47.900001525878906,2018-01-03 15:00:00,0.42334172,0.42616412,0.42390305,0.41034046,0.42433858
9.100000381469727,47.900001525878906,2018-01-03 16:00:00,0.42115992,0.42589,0.4239489,0.41040045,0.42416131
