,OWEFE,BAU
Total design diameter [m},5.82,5
,,
Total volume of digester [m³],82.47,50.47
,,
Biogas conversion factor; ?,0.12,
,,
surface_area_total,131.4 m²,108.21
,,
Total Depth/Height [m³],,4.37
Volumetric flow rate,2.294176647589828 m3/days,
,,
Retention Time ,22,22
