timestep,demand_water,demand_f,dewatered_sludge,temperature,demand_electricity,heat_demand_digester,electricity_demand_digester
182,90.2893,0.0,30.91,10.69,44.26,3.2668136926756772,2.3073691201302537
183,91.2893,0.062188,30.91,10.482,44.26,3.294765039778784,2.3073691201302537
184,92.2893,0.15426,30.91,10.336,44.26,3.314384735341542,2.3073691201302537
185,93.2893,0.16016,30.91,10.093,44.26,3.3470394341206533,2.3073691201302537
186,94.2893,0.1036,30.91,9.821,44.26,3.383591195717025,2.3073691201302537
187,95.2893,0.084862,30.91,9.478,44.26,3.4296840421418597,2.3073691201302537
188,96.2893,0.052101,30.91,9.109,44.26,3.479270806954584,2.3073691201302537
189,97.2893,0.014673,30.91,8.813,44.26,3.519047723985929,2.3073691201302537
190,98.2893,0.0,30.91,8.617,44.26,3.5453864933715495,2.3073691201302537
191,99.2893,0.0,30.91,8.453,44.26,3.5674250555105385,2.3073691201302537
192,100.2893,0.0,30.91,8.313,44.26,3.5862384622145522,2.3073691201302537
193,101.2893,0.0,30.91,8.219,44.26,3.5988703210015345,2.3073691201302537
194,102.2893,0.0,30.91,8.045,44.26,3.622252697905095,2.3073691201302537
195,103.2893,0.0,30.91,7.854,44.26,3.6479195599084293,2.3073691201302537
196,104.2893,0.0,30.91,7.596,44.26,3.682589980834399,2.3073691201302537
197,105.2893,0.0,30.91,7.549,44.26,3.6889059102278896,2.3073691201302537
198,106.2893,0.0,30.91,7.949,44.26,3.6351533196449908,2.3073691201302537
199,107.2893,0.0,30.91,8.729,44.26,3.5303357680083387,2.3073691201302537
200,108.2893,0.0,30.91,9.671,44.26,3.4037484171856116,2.3073691201302537
201,109.2893,0.0,30.91,10.315,44.26,3.3172067463471446,2.3073691201302537
202,110.2893,0.0,30.91,10.707,44.26,3.2645292075759036,2.3073691201302537
203,111.2893,0.0,30.91,10.867,44.26,3.2430281713427442,2.3073691201302537
204,112.2893,0.0,30.91,10.82,44.26,3.2493441007362343,2.3073691201302537
205,113.2893,0.0,30.91,10.547,44.26,3.286030243809063,2.3073691201302537
206,114.2893,0.062188,30.91,9.935,44.26,3.368271707400898,2.3073691201302537
207,115.2893,0.15426,30.91,8.027,44.26,3.624671564481326,2.3073691201302537
208,116.2893,0.16016,30.91,7.229,44.26,3.7319079826942083,2.3073691201302537
209,117.2893,0.1036,30.91,7.168,44.26,3.7401052527581014,2.3073691201302537
210,118.2893,0.084862,30.91,7.414,44.26,3.7070474095496175,2.3073691201302537
211,119.2893,0.0,30.91,7.484,44.26,3.6976407061976104,2.3073691201302537
212,120.2893,0.0,30.91,7.222,44.26,3.7328486530294094,2.3073691201302537
213,121.2893,0.062188,30.91,6.76,44.26,3.7949328951526584,2.3073691201302537
214,122.2893,0.15426,30.91,6.28,44.26,3.859436003852136,2.3073691201302537
215,123.2893,0.16016,30.91,5.887,44.26,3.9122479240998342,2.3073691201302537
216,124.2893,0.1036,30.91,5.371,44.26,3.9815887659517735,2.3073691201302537
217,125.2893,0.084862,30.91,5.055,44.26,4.0240533125122635,2.3073691201302537
218,126.2893,0.052101,30.91,4.94,44.26,4.039507182304847,2.3073691201302537
219,127.2893,0.014673,30.91,5.028,44.26,4.02768161237661,2.3073691201302537
220,128.2893,0.0,30.91,5.223,44.26,4.001477224467447,2.3073691201302537
221,129.2893,0.0,30.91,5.015,44.26,4.029428571570554,2.3073691201302537
222,130.2893,0.0,30.91,5.818,44.26,3.921520245975385,2.3073691201302537
223,131.2893,0.0,30.91,7.457,44.26,3.701269006061956,2.3073691201302537
224,132.2893,0.0,30.91,9.498,44.26,3.4269964126127155,2.3073691201302537
225,133.2893,0.0,30.91,11.335,44.26,3.180137640360752,2.3073691201302537
226,134.2893,0.0,30.91,12.422,44.26,3.0340649754517246,2.3073691201302537
227,135.2893,0.0,30.91,13.133,44.26,2.9385197456906225,2.3073691201302537
228,136.2893,0.0,30.91,13.431,44.26,2.898474065706363,2.3073691201302537
229,137.2893,0.0,30.91,13.41,44.26,2.9012960767119647,2.3073691201302537
230,138.2893,0.0,30.91,12.662,44.26,3.0018134211019856,2.3073691201302537
231,139.2893,0.0,30.91,9.749,44.26,3.3932666620219454,2.3073691201302537
232,140.2893,0.0,30.91,8.578,44.26,3.550627370953382,2.3073691201302537
233,141.2893,0.0,30.91,8.313,44.26,3.5862384622145522,2.3073691201302537
234,142.2893,0.0,30.91,8.675,44.26,3.5375923677370293,2.3073691201302537
235,143.2893,0.0,30.91,8.312,44.26,3.5863728436910103,2.3073691201302537
236,144.2893,0.062188,30.91,7.776,44.26,3.658401315072094,2.3073691201302537
237,145.2893,0.15426,30.91,7.374,44.26,3.7124226686079083,2.3073691201302537
238,146.2893,0.16016,30.91,6.996,44.26,3.7632188667087467,2.3073691201302537
239,147.2893,0.1036,30.91,6.704,44.26,3.8024582578342634,2.3073691201302537
240,148.2893,0.084862,30.91,6.486,44.26,3.8317534197019434,2.3073691201302537
241,149.2893,0.0,30.91,6.211,44.26,3.8687083257276864,2.3073691201302537
242,150.2893,0.0,30.91,5.933,44.26,3.9060663761828005,2.3073691201302537
243,151.2893,0.062188,30.91,5.71,44.26,3.9360334454327672,2.3073691201302537
244,152.2893,0.15426,30.91,5.54,44.26,3.958878296430499,2.3073691201302537
245,153.2893,0.16016,30.91,5.467,44.26,3.968688144211878,2.3073691201302537
246,154.2893,0.1036,30.91,6.526,44.26,3.826378160643653,2.3073691201302537
247,155.2893,0.084862,30.91,8.666,44.26,3.538801801025145,2.3073691201302537
248,156.2893,0.052101,30.91,11.059,44.26,3.217226927862953,2.3073691201302537
249,157.2893,0.014673,30.91,13.123,44.26,2.939863560455195,2.3073691201302537
250,158.2893,0.0,30.91,14.429,44.26,2.7643613522020294,2.3073691201302537
251,159.2893,0.0,30.91,15.185,44.26,2.6627689560003507,2.3073691201302537
252,160.2893,0.0,30.91,15.572,44.26,2.610763324611397,2.3073691201302537
253,161.2893,0.0,30.91,15.455,44.26,2.626485957356895,2.3073691201302537
254,162.2893,0.0,30.91,14.211,44.26,2.79365651406971,2.3073691201302537
255,163.2893,0.0,30.91,11.902,44.26,3.103943343209493,2.3073691201302537
256,164.2893,0.0,30.91,10.158,44.26,3.338304638150932,2.3073691201302537
257,165.2893,0.0,30.91,9.115,44.26,3.4784645180958407,2.3073691201302537
258,166.2893,0.0,30.91,8.74,44.26,3.528857571767308,2.3073691201302537
259,167.2893,0.0,30.91,8.69,44.26,3.5355766455901714,2.3073691201302537
260,168.2893,0.0,30.91,8.188,44.26,3.603036146771708,2.3073691201302537
261,169.2893,0.0,30.91,7.893,44.26,3.642678682326596,2.3073691201302537
262,170.2893,0.0,30.91,7.672,44.26,3.6723769886236486,2.3073691201302537
263,171.2893,0.0,30.91,7.454,44.26,3.701672150491328,2.3073691201302537
264,172.2893,0.0,30.91,7.208,44.26,3.734729993699811,2.3073691201302537
265,173.2893,0.0,30.91,7.075,44.26,3.7526027300686247,2.3073691201302537
266,174.2893,0.062188,30.91,6.813,44.26,3.7878106769004236,2.3073691201302537
267,175.2893,0.15426,30.91,6.443,44.26,3.8375318231896047,2.3073691201302537
268,176.2893,0.16016,30.91,6.073,44.26,3.8872529694787863,2.3073691201302537
269,177.2893,0.1036,30.91,5.713,44.26,3.9356303010033953,2.3073691201302537
270,178.2893,0.084862,30.91,6.849,44.26,3.782972943747963,2.3073691201302537
271,179.2893,0.0,30.91,9.277,44.26,3.456694718909767,2.3073691201302537
272,180.2893,0.0,30.91,11.692,44.26,3.132163453265515,2.3073691201302537
273,181.2893,0.062188,30.91,13.764,44.26,2.853725034046099,2.3073691201302537
274,182.2893,0.15426,30.91,15.141,44.26,2.66868174096447,2.3073691201302537
275,183.2893,0.16016,30.91,15.929,44.26,2.562789137516159,2.3073691201302537
276,184.2893,0.1036,30.91,16.295,44.26,2.5136055171328064,2.3073691201302537
277,185.2893,0.084862,30.91,16.086,44.26,2.5416912457123715,2.3073691201302537
278,186.2893,0.052101,30.91,14.853,44.26,2.7073836061841567,2.3073691201302537
279,187.2893,0.014673,30.91,12.23,44.26,3.059866218931516,2.3073691201302537
280,188.2893,0.0,30.91,10.242,44.26,3.3270165941285237,2.3073691201302537
281,189.2893,0.0,30.91,9.808,44.26,3.3853381549109685,2.3073691201302537
282,190.2893,0.0,30.91,9.85,44.26,3.379694132899764,2.3073691201302537
283,191.2893,0.0,30.91,9.376,44.26,3.4433909527404998,2.3073691201302537
284,192.2893,0.0,30.91,9.016,44.26,3.4917682842651088,2.3073691201302537
285,193.2893,0.0,30.91,8.281,44.26,3.5905386694611847,2.3073691201302537
286,194.2893,0.0,30.91,7.47,44.26,3.6995220468680126,2.3073691201302537
287,195.2893,0.0,30.91,7.197,44.26,3.736208189940841,2.3073691201302537
288,196.2893,0.0,30.91,6.885,44.26,3.778135210595502,2.3073691201302537
289,197.2893,0.0,30.91,6.667,44.26,3.8074303724631813,2.3073691201302537
290,198.2893,0.0,30.91,6.571,44.26,3.8203309942030774,2.3073691201302537
291,199.2893,0.0,30.91,6.537,44.26,3.824899964402624,2.3073691201302537
292,200.2893,0.0,30.91,6.448,44.26,3.836859915807319,2.3073691201302537
293,201.2893,0.0,30.91,6.297,44.26,3.857151518752363,2.3073691201302537
294,202.2893,0.0,30.91,8.468,44.26,3.5654093333636796,2.3073691201302537
295,203.2893,0.0,30.91,10.913,44.26,3.23684662342571,2.3073691201302537
296,204.2893,0.062188,30.91,12.768,44.26,2.9875689845975173,2.3073691201302537
297,205.2893,0.15426,30.91,13.857,44.26,2.841227556735575,2.3073691201302537
298,206.2893,0.16016,30.91,14.253,44.26,2.788012492058505,2.3073691201302537
299,207.2893,0.1036,30.91,13.898,44.26,2.835717916200828,2.3073691201302537
300,208.2893,0.084862,30.91,13.432,44.26,2.8983396842299047,2.3073691201302537
301,209.2893,0.0,30.91,12.687,44.26,2.9984538841905546,2.3073691201302537
302,210.2893,0.0,30.91,11.835,44.26,3.1129469021321285,2.3073691201302537
303,211.2893,0.062188,30.91,11.171,44.26,3.2021762024997407,2.3073691201302537
304,212.2893,0.15426,30.91,10.934,44.26,3.2340246124201086,2.3073691201302537
305,213.2893,0.16016,30.91,10.762,44.26,3.2571382263707545,2.3073691201302537
306,214.2893,0.1036,30.91,10.53,44.26,3.288314728908836,2.3073691201302537
307,215.2893,0.084862,30.91,10.314,44.26,3.3173411278236014,2.3073691201302537
308,216.2893,0.052101,30.91,10.182,44.26,3.3350794827159578,2.3073691201302537
309,217.2893,0.014673,30.91,9.999,44.26,3.3596712929076338,2.3073691201302537
310,218.2893,0.0,30.91,9.9,44.26,3.372975059076902,2.3073691201302537
311,219.2893,0.0,30.91,9.902,44.26,3.3727062961239875,2.3073691201302537
312,220.2893,0.0,30.91,9.978,44.26,3.3624933039132365,2.3073691201302537
313,221.2893,0.0,30.91,10.1,44.26,3.3460987637854522,2.3073691201302537
314,222.2893,0.0,30.91,10.313,44.26,3.3174755093000585,2.3073691201302537
315,223.2893,0.0,30.91,10.576,44.26,3.282133180991803,2.3073691201302537
316,224.2893,0.0,30.91,10.79,44.26,3.253375545029952,2.3073691201302537
317,225.2893,0.0,30.91,10.786,44.26,3.2539130709357806,2.3073691201302537
318,226.2893,0.0,30.91,10.99,44.26,3.2264992497385023,2.3073691201302537
319,227.2893,0.0,30.91,11.614,44.26,3.1426452084291805,2.3073691201302537
320,228.2893,0.0,30.91,12.273,44.26,3.0540878154438547,2.3073691201302537
321,229.2893,0.0,30.91,12.9,44.26,2.969830629705161,2.3073691201302537
322,230.2893,0.0,30.91,12.751,44.26,2.989853469697291,2.3073691201302537
323,231.2893,0.0,30.91,12.811,44.26,2.9817905811098555,2.3073691201302537
324,232.2893,0.0,30.91,12.978,44.26,2.9593488745414955,2.3073691201302537
325,233.2893,0.0,30.91,12.955,44.26,2.962439648500012,2.3073691201302537
326,234.2893,0.062188,30.91,12.517,44.26,3.0212987351882865,2.3073691201302537
327,235.2893,0.15426,30.91,11.554,44.26,3.150708097016615,2.3073691201302537
328,236.2893,0.16016,30.91,10.957,44.26,3.2309338384615915,2.3073691201302537
329,237.2893,0.1036,30.91,11.034,44.26,3.2205864647743834,2.3073691201302537
330,238.2893,0.084862,30.91,11.284,44.26,3.1869910956600718,2.3073691201302537
331,239.2893,0.0,30.91,11.462,44.26,3.163071192850682,2.3073691201302537
332,240.2893,0.0,30.91,11.45,44.26,3.164683770568169,2.3073691201302537
333,241.2893,0.062188,30.91,11.199,44.26,3.198413521158938,2.3073691201302537
334,242.2893,0.15426,30.91,10.184,44.26,3.334810719763044,2.3073691201302537
335,243.2893,0.16016,30.91,9.848,44.26,3.3799628958526786,2.3073691201302537
336,244.2893,0.1036,30.91,9.68,44.26,3.402538983897496,2.3073691201302537
337,245.2893,0.084862,30.91,9.273,44.26,3.4572322448155957,2.3073691201302537
