,t_air
2018-08-04,9.067438667
2018-08-05,9.837181
2018-08-06,10.11431193
2018-08-07,10.42543802
2018-08-08,10.60531563
2018-08-09,3.920607372
2018-08-10,-0.005298965
2018-08-11,3.494456213
2018-08-12,8.762211143
2018-08-13,11.8610611
2018-08-14,9.630066972
2018-08-15,13.2386219
2018-08-16,7.744266324
2018-08-17,17.78060372
2018-08-18,16.97439493
2018-08-19,20.023288
2018-08-20,21.11878945
2018-08-21,16.2962396
2018-08-22,17.3344265
2018-08-23,17.47140434
2018-08-24,19.92128
2018-08-25,23.19942617
2018-08-26,24.639284
2018-08-27,25.22139017
2018-08-28,20.330241
2018-08-29,19.9103125
2018-08-30,23.3333505
2018-08-31,15.38106415
2018-09-01,14.83842888
2018-09-02,21.85007143
2018-09-03,22.8335417
2018-09-04,23.90953283
2018-09-05,18.66292752
2018-09-06,23.3525866
2018-09-07,14.32205193
2018-09-08,13.17043734
2018-09-09,18.46616018
2018-09-10,20.98194222
2018-09-11,21.58564143
2018-09-12,22.89596536
2018-09-13,25.31443246
2018-09-14,25.9785044
2018-09-15,25.66304
2018-09-16,22.65073467
2018-09-17,25.231176
2018-09-18,24.85809533
2018-09-19,22.74942508
2018-09-20,24.7384795
2018-09-21,23.276949
2018-09-22,18.53332587
2018-09-23,22.80052808
2018-09-24,21.38459746
2018-09-25,27.03314415
2018-09-26,25.08221821
2018-09-27,17.948496
2018-09-28,20.23790072
2018-09-29,21.949904
2018-09-30,26.90118024
2018-10-01,25.52399829
2018-10-02,24.1293955
2018-10-03,19.77984964
2018-10-04,24.165444
2018-10-05,24.62551399
2018-10-06,21.41419529
2018-10-07,26.1178775
2018-10-08,24.461165
2018-10-09,25.58261721
2018-10-10,27.478054
2018-10-11,20.631846
2018-10-12,27.8469622
2018-10-13,29.15980189
2018-10-14,28.23728
2018-10-15,30.44410024
2018-10-16,31.7069434
2018-10-17,30.78413121
2018-10-18,29.70976619
2018-10-19,30.88153727
2018-10-20,28.81858536
2018-10-21,22.00995021
2018-10-22,27.4394755
2018-10-23,24.25878692
2018-10-24,27.27686517
2018-10-25,27.376519
2018-10-26,27.9538775
2018-10-27,29.66508183
2018-10-28,20.60708093
2018-10-29,22.1887525
2018-10-30,26.12962775
2018-10-31,18.74577386
2018-11-01,13.96651131
2018-11-02,20.8866108
2018-11-03,23.32143571
2018-11-04,21.17883256
2018-11-05,24.95352078
2018-11-06,27.39398365
2018-11-07,23.36019767
2018-11-08,21.31668374
2018-11-09,24.039035
2018-11-10,25.58579067
2018-11-11,23.3076385
2018-11-12,23.10857362
2018-11-13,17.37367433
2018-11-14,21.45808985
2018-11-15,19.836585
2018-11-16,11.23622257
2018-11-17,16.49920996
2018-11-18,19.78995945
2018-11-19,19.06251941
2018-11-20,18.607919
2018-11-21,22.36615134
2018-11-22,21.2145745
2018-11-23,20.61911229
2018-11-24,18.83213375
2018-11-25,14.55182911
2018-11-26,12.86134602
2018-11-27,11.7813665
2018-11-28,14.75007527
2018-11-29,6.269471809
2018-11-30,7.320271467
2018-12-01,11.78023144
2018-12-02,10.22602455
2018-12-03,11.181104
2018-12-04,12.64452971
2018-12-05,11.34647219
2018-12-06,11.99585732
2018-12-07,13.02752964
2018-12-08,6.574337417
2018-12-09,4.83552368
2018-12-10,1.35667412
2018-12-11,0.42833328
2018-12-12,3.91476544
2018-12-13,6.599153481
2018-12-14,2.09862496
2018-12-15,3.265128937
2018-12-16,6.519769166
2018-12-17,11.37737889
2018-12-18,8.42818621
2018-12-19,9.996557541
2018-12-20,7.04160861
2018-12-21,3.48387328
2018-12-22,0.08161583
2018-12-23,-3.001845547
2018-12-24,2.281994537
2018-12-25,1.8601419
2018-12-26,8.342937543
2018-12-27,9.828172569
2018-12-28,9.396967867
2018-12-29,0.15554024
2018-12-30,2.531282507
2018-12-31,3.744545981
