,Value
"(('AC electricity bus', 'grid'), 'flow')",241081685.66913858
"(('Inverter', 'AC electricity bus'), 'flow')",241081685.66913858
"(('Plant_arid', 'biomass bus'), 'flow')",2094.0473353463553
"(('biomass bus', 'harvest'), 'flow')",2094.0473353463553
"(('Plant_arid', 'biomass bus'), 'flow')",439.32593612284745
"(('biomass bus', 'harvest'), 'flow')",439.32593612284745
