APV_at,REF_at
5.64,5.78
5.673333333,5.786666667
5.586666667,5.746666667
6.173333333,6.226666667
5.746666667,5.793333333
5.986666667,6.013333333
5.686666667,5.713333333
5.353333333,5.386666667
4.94,4.986666667
4.42,4.48
4.08,4.126666667
