x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.0,0.0,0.05,5.066458,groundplane,a11.7.a0.APV_2_UP.2310,690985.3,152853.0,0.22121020487525533
-8.397942,-8.397942,0.05,5.133856,groundplane,a11.7.a0.APV_2_UP.2310,716300.9,153049.9,0.21366704940107284
-16.79588,-16.79588,0.05,5.201255,groundplane,a11.7.a0.APV_2_UP.2310,695571.8,153246.6,0.22031744210976142
-25.19383,-25.19383,0.05,5.268653,groundplane,a11.7.a0.APV_2_UP.2310,681341.1,153443.3,0.22520775537361862
-33.59177,-33.59177,0.05,5.336051,groundplane,a11.7.a0.APV_2_UP.2310,733409.3000000002,152982.5,0.20859089159546937
-41.98971,-41.98971,0.05,5.403449,groundplane,a11.7.a0.APV_2_UP.2310,810637.0,153239.7,0.18903615281681424
-50.38765,-50.38765,0.05,5.470847,groundplane,a11.7.a0.APV_2_UP.2310,1042397.0,153497.6,0.1472544528166769
-58.7856,-58.7856,0.05,5.538245,groundplane,a11.7.a0.APV_2_UP.2310,1075212.0,153755.5,0.14300017099604528
-67.18354,-67.18354,0.05,5.605643,groundplane,a11.7.a1.APV_2_UP.2310,1082172.0,154013.4,0.1423187809864617
-75.58148,-75.58148,0.05,5.673041,ground,a11.7.a1.APV_2_UP.2310,0.0,153218.3,153218300.0
-83.97942,-83.97942,0.05,5.740439,ground,a11.7.a1.APV_2_UP.2310,0.0,153694.7,153694700.0
-92.37736,-92.37736,0.05,5.807837,ground,a11.7.a1.APV_2_UP.2310,0.0,154171.5,154171500.0
-100.7753,-100.7753,0.05,5.875235,ground,a11.7.a1.APV_2_UP.2310,0.0,154648.2,154648200.0
-109.1732,-109.1732,0.05,5.942634,ground,a11.7.a1.APV_2_UP.2310,0.0,153511.0,153511000.0
-117.5712,-117.5712,0.05,6.010032,ground,a11.7.a1.APV_2_UP.2310,0.0,154040.9,154040900.0
-125.9691,-125.9691,0.05,6.07743,ground,a11.7.a1.APV_2_UP.2310,0.0,154571.0,154571000.0
