x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.8954592,-0.8954592,5.13431,5.113637,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1197443.0,448346.5,0.3744199094450259
-0.6728641,-0.6728641,5.248887,5.228214,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1202361.0,448580.3,0.37308287579763244
-0.450269,-0.450269,5.363464,5.342791,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1202127.0,448815.0,0.3733507355101826
-0.2276739,-0.2276739,5.478041,5.457367,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1204063.0,452804.8,0.3760640428482031
-0.00507874,-0.00507874,5.592617,5.571944,a11.7.a1.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1216197.0,453391.0999999999,0.37279412761847447
0.2175164,0.2175164,5.707194,5.686521,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1217537.0,453978.0,0.37286587563838647
0.4401115,0.4401115,5.821771,5.801098,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1218865.0,447430.4000000001,0.36708774116322346
0.6627066,0.6627066,5.936348,5.915674,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1219468.0,448240.7,0.3675706944605593
0.8853017,0.8853017,6.050924,6.030251,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1220014.0,449052.0999999999,0.36807126773293475
