x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.8954592,-0.8954592,5.13431,5.113637,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1191385.0,149988.2,0.12589398042958913
-0.6728641,-0.6728641,5.248887,5.228214,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1196191.0,150420.1,0.12574923224990892
-0.450269,-0.450269,5.363464,5.342791,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1195738.0,150850.3,0.12615664959534895
-0.2276739,-0.2276739,5.478041,5.457367,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1198058.0,151711.7,0.12663134829312828
-0.00507874,-0.00507874,5.592617,5.571944,a11.7.a1.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1216929.0,152362.5,0.1252024562441996
0.2175164,0.2175164,5.707194,5.686521,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1218856.0,153288.0,0.1257638308990038
0.4401115,0.4401115,5.821771,5.801098,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1220772.0,153909.4,0.12607546689629556
0.6627066,0.6627066,5.936348,5.915674,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1220119.0,151293.7,0.12399913440902148
0.8853017,0.8853017,6.050924,6.030251,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1220974.0,152238.2,0.12468586544456652
