x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.8954592,-0.8954592,5.13431,5.113637,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1184881.0,151161.5,0.127575258504799
-0.6728641,-0.6728641,5.248887,5.228214,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1189331.0,151831.7,0.1276614330849348
-0.450269,-0.450269,5.363464,5.342791,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1198918.0,152499.4,0.12719752299390158
-0.2276739,-0.2276739,5.478041,5.457367,a11.7.a0.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1201195.0,153167.0,0.12751218567550465
-0.00507874,-0.00507874,5.592617,5.571944,a11.7.a1.APV_2_UP.6457,a11.7.a0.APV_2_UP.2310,1212221.0,152594.6,0.12588018181018135
0.2175164,0.2175164,5.707194,5.686521,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1213621.0,153230.1,0.12625860946188425
0.4401115,0.4401115,5.821771,5.801098,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1215010.0,153449.0,0.12629443368672322
0.6627066,0.6627066,5.936348,5.915674,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1222511.0,154320.3,0.12623223829787034
0.8853017,0.8853017,6.050924,6.030251,a11.7.a1.APV_2_UP.6457,a11.7.a1.APV_2_UP.2310,1223740.0,152157.1,0.12433776772489438
