x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-0.8954592,-0.8954592,5.13431,5.113637,a0.0.a0.APV_2_UP.6457,a0.0.a0.APV_2_UP.2310,1230710.0,218893.0,0.17785912182572733
-0.6728641,-0.6728641,5.248887,5.228214,a0.0.a0.APV_2_UP.6457,a0.0.a0.APV_2_UP.2310,1230928.0,219156.1,0.17804136376941515
-0.450269,-0.450269,5.363464,5.342791,a0.0.a0.APV_2_UP.6457,a0.0.a0.APV_2_UP.2310,1231134.0,219418.1,0.17822438485313186
-0.2276739,-0.2276739,5.478041,5.457367,a0.0.a0.APV_2_UP.6457,a0.0.a0.APV_2_UP.2310,1231341.0,219680.1,0.1784071998102823
-0.00507874,-0.00507874,5.592617,5.571944,a0.0.a1.APV_2_UP.6457,a0.0.a0.APV_2_UP.2310,1231548.0,219551.1,0.17827246670184804
0.2175164,0.2175164,5.707194,5.686521,a0.0.a1.APV_2_UP.6457,a0.0.a1.APV_2_UP.2310,1231754.0,219654.79999999996,0.17832684109138117
0.4401115,0.4401115,5.821771,5.801098,a0.0.a1.APV_2_UP.6457,a0.0.a1.APV_2_UP.2310,1228415.0,219757.0,0.17889475447719644
0.6627066,0.6627066,5.936348,5.915674,a0.0.a1.APV_2_UP.6457,a0.0.a1.APV_2_UP.2310,1228469.0,219859.20000000004,0.17897008375549564
0.8853017,0.8853017,6.050924,6.030251,a0.0.a1.APV_2_UP.6457,a0.0.a1.APV_2_UP.2310,1228511.0,219961.4,0.17904715531318227
